id,room_id,guild_id,owner_id,action_type,target_user_id,metadata_json,created_at
85,26,1471242450386550835,763898226562564116,WHITELIST_ADD,378234973624336384,"{""source"":""select_sync""}","""2026-03-02T20:01:31.336Z"""
86,26,1471242450386550835,763898226562564116,WHITELIST_ADD,828271363994288128,"{""source"":""select_sync""}","""2026-03-02T20:01:31.339Z"""
87,26,1471242450386550835,763898226562564116,WHITELIST_ADD,490039330388180992,"{""source"":""select_sync""}","""2026-03-02T20:01:31.339Z"""
88,26,1471242450386550835,763898226562564116,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-02T20:01:31.379Z"""
89,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1055026238848253972,"{""source"":""select_sync""}","""2026-03-02T20:01:31.383Z"""
90,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1466369259587244072,"{""source"":""select_sync""}","""2026-03-02T20:01:31.383Z"""
91,26,1471242450386550835,763898226562564116,WHITELIST_ADD,345881981273243649,"{""source"":""select_sync""}","""2026-03-02T20:01:48.550Z"""
92,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1070862682632228934,"{""source"":""select_sync""}","""2026-03-02T20:01:48.559Z"""
93,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1020667335167709226,"{""source"":""select_sync""}","""2026-03-02T20:01:48.559Z"""
94,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1461023987508187332,"{""source"":""select_sync""}","""2026-03-02T20:01:48.560Z"""
95,28,1471242450386550835,763898226562564116,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-03T08:44:57.099Z"""
96,28,1471242450386550835,763898226562564116,WHITELIST_ADD,1466369259587244072,"{""source"":""select_sync""}","""2026-03-03T08:44:57.112Z"""
97,28,1471242450386550835,763898226562564116,WHITELIST_ADD,828271363994288128,"{""source"":""select_sync""}","""2026-03-03T16:09:25.531Z"""
98,28,1471242450386550835,763898226562564116,WHITELIST_ADD,1477005738361618565,"{""source"":""select_sync""}","""2026-03-03T16:29:24.456Z"""
99,30,1471242450386550835,787960730975993896,WHITELIST_ADD,1058727181288755240,"{""source"":""select_sync""}","""2026-03-04T17:41:02.385Z"""
100,27,1471242450386550835,315818922450616320,WHITELIST_ADD,1058727181288755240,"{""source"":""select_sync""}","""2026-03-04T18:28:56.445Z"""
101,27,1471242450386550835,315818922450616320,WHITELIST_ADD,1119865884362682441,"{""source"":""select_sync""}","""2026-03-04T18:28:56.454Z"""
102,27,1471242450386550835,315818922450616320,WHITELIST_ADD,1448002329268719666,"{""source"":""select_sync""}","""2026-03-04T18:28:56.455Z"""
103,27,1471242450386550835,315818922450616320,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-04T18:28:56.456Z"""
104,27,1471242450386550835,315818922450616320,WHITELIST_ADD,801741057394081793,"{""source"":""select_sync""}","""2026-03-04T18:28:56.458Z"""
105,27,1471242450386550835,315818922450616320,WHITELIST_ADD,973259515476733962,"{""source"":""select_sync""}","""2026-03-04T18:28:56.459Z"""
106,27,1471242450386550835,315818922450616320,WHITELIST_ADD,1026528886114238534,"{""source"":""select_sync""}","""2026-03-04T18:28:56.490Z"""
107,27,1471242450386550835,315818922450616320,WHITELIST_REMOVE,787960730975993896,"{""source"":""select_sync""}","""2026-03-05T12:35:21.358Z"""
108,28,1471242450386550835,763898226562564116,WHITELIST_ADD,1447015808344784956,"{""source"":""select_sync""}","""2026-03-05T14:29:37.732Z"""
109,27,1471242450386550835,315818922450616320,WHITELIST_ADD,956622381324054578,"{""source"":""select_sync""}","""2026-03-05T15:08:00.968Z"""
110,32,1471242450386550835,763898226562564116,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-06T15:23:12.266Z"""
111,32,1471242450386550835,763898226562564116,WHITELIST_ADD,828271363994288128,"{""source"":""mention_add""}","""2026-03-06T15:23:54.706Z"""
112,32,1471242450386550835,763898226562564116,WHITELIST_REMOVE,828271363994288128,"{""source"":""select_sync""}","""2026-03-06T15:24:57.364Z"""
113,30,1471242450386550835,787960730975993896,WHITELIST_ADD,1477005738361618565,"{""source"":""select_sync""}","""2026-03-07T10:39:12.828Z"""
114,30,1471242450386550835,787960730975993896,WHITELIST_ADD,763898226562564116,"{""source"":""select_sync""}","""2026-03-07T10:57:02.651Z"""
115,30,1471242450386550835,787960730975993896,WHITELIST_ADD,1119865884362682441,"{""source"":""select_sync""}","""2026-03-07T14:51:31.566Z"""
116,31,1471242450386550835,1477005738361618565,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-07T15:40:54.235Z"""
117,31,1471242450386550835,1477005738361618565,WHITELIST_ADD,1451260762596315248,"{""source"":""select_sync""}","""2026-03-07T15:40:54.245Z"""
118,31,1471242450386550835,1477005738361618565,WHITELIST_ADD,1352662722260635780,"{""source"":""select_sync""}","""2026-03-07T15:40:54.245Z"""
119,31,1471242450386550835,1477005738361618565,WHITELIST_ADD,1466369259587244072,"{""source"":""select_sync""}","""2026-03-07T15:40:54.250Z"""
120,31,1471242450386550835,1477005738361618565,WHITELIST_ADD,763898226562564116,"{""source"":""select_sync""}","""2026-03-07T15:40:54.251Z"""
121,33,1471242450386550835,763898226562564116,WHITELIST_ADD,787960730975993896,"{""source"":""select_sync""}","""2026-03-07T19:46:43.424Z"""
122,33,1471242450386550835,763898226562564116,WHITELIST_ADD,1477005738361618565,"{""source"":""select_sync""}","""2026-03-07T19:46:43.432Z"""
123,33,1471242450386550835,763898226562564116,WHITELIST_ADD,828271363994288128,"{""source"":""select_sync""}","""2026-03-07T19:46:43.432Z"""
